id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum
1,proxy1,14.070000000000004,4.8799270983167595,28.627633252139542,1.407,100,244,65
2,proxy2,18.129999999999995,5.9715194356834855,18.700802392686754,1.8129999999999995,100,330,75
3,proxy3,14.84,5.335934866361379,10.953864051176643,1.484,100,286,63
4,proxy4,13.900000000000002,4.950936377613027,15.987479313381613,1.3899999999999992,100,278,63
5,proxy5,17.069999999999997,5.588483990198369,14.51304296399528,1.7069999999999985,100,394,84
6,proxy6,14.07,5.034902282896927,27.00702469598106,1.4069999999999996,100,332,67
7,proxy7,16.119999999999997,5.340815987386543,13.386071913293684,1.6119999999999994,100,298,71
8,proxy8,13.99,4.634236226983537,21.923752634147316,1.3990000000000002,100,309,66
9,proxy9,14.909999999999998,4.531424366284549,24.99351124136581,1.4909999999999997,100,336,70
10,proxy10,18.020000000000007,4.903953037154201,17.310372407063056,1.8019999999999998,100,337,76
