Starting training...
Epoch 1/50, Train Loss: 1.0876, Validation Loss: 0.9523, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 2/50, Train Loss: 0.9241, Validation Loss: 0.7927, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 3/50, Train Loss: 0.7652, Validation Loss: 0.6469, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 4/50, Train Loss: 0.6242, Validation Loss: 0.5146, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 5/50, Train Loss: 0.4966, Validation Loss: 0.3993, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 6/50, Train Loss: 0.3878, Validation Loss: 0.3091, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 7/50, Train Loss: 0.3066, Validation Loss: 0.2418, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 8/50, Train Loss: 0.2469, Validation Loss: 0.1928, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 9/50, Train Loss: 0.2026, Validation Loss: 0.1574, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 10/50, Train Loss: 0.1730, Validation Loss: 0.1323, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 11/50, Train Loss: 0.1523, Validation Loss: 0.1160, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 12/50, Train Loss: 0.1384, Validation Loss: 0.1061, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 13/50, Train Loss: 0.1314, Validation Loss: 0.1002, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 14/50, Train Loss: 0.1271, Validation Loss: 0.0965, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 15/50, Train Loss: 0.1245, Validation Loss: 0.0940, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 16/50, Train Loss: 0.1232, Validation Loss: 0.0924, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 17/50, Train Loss: 0.1219, Validation Loss: 0.0910, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 18/50, Train Loss: 0.1211, Validation Loss: 0.0898, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 19/50, Train Loss: 0.1197, Validation Loss: 0.0886, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 20/50, Train Loss: 0.1185, Validation Loss: 0.0876, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 21/50, Train Loss: 0.1173, Validation Loss: 0.0867, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 22/50, Train Loss: 0.1158, Validation Loss: 0.0858, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 23/50, Train Loss: 0.1142, Validation Loss: 0.0848, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 24/50, Train Loss: 0.1126, Validation Loss: 0.0838, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 25/50, Train Loss: 0.1109, Validation Loss: 0.0830, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 26/50, Train Loss: 0.1083, Validation Loss: 0.0821, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 27/50, Train Loss: 0.1063, Validation Loss: 0.0814, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 28/50, Train Loss: 0.1045, Validation Loss: 0.0808, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 29/50, Train Loss: 0.1029, Validation Loss: 0.0801, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 30/50, Train Loss: 0.1014, Validation Loss: 0.0796, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 31/50, Train Loss: 0.0997, Validation Loss: 0.0788, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 32/50, Train Loss: 0.0979, Validation Loss: 0.0782, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 33/50, Train Loss: 0.0968, Validation Loss: 0.0780, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 34/50, Train Loss: 0.0956, Validation Loss: 0.0776, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 35/50, Train Loss: 0.0943, Validation Loss: 0.0771, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 36/50, Train Loss: 0.0930, Validation Loss: 0.0766, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 37/50, Train Loss: 0.0915, Validation Loss: 0.0761, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 38/50, Train Loss: 0.0902, Validation Loss: 0.0755, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 39/50, Train Loss: 0.0888, Validation Loss: 0.0747, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 40/50, Train Loss: 0.0876, Validation Loss: 0.0738, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 41/50, Train Loss: 0.0856, Validation Loss: 0.0732, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 42/50, Train Loss: 0.0848, Validation Loss: 0.0728, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 43/50, Train Loss: 0.0828, Validation Loss: 0.0724, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 44/50, Train Loss: 0.0817, Validation Loss: 0.0722, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 45/50, Train Loss: 0.0804, Validation Loss: 0.0719, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 46/50, Train Loss: 0.0791, Validation Loss: 0.0715, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 47/50, Train Loss: 0.0777, Validation Loss: 0.0711, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 48/50, Train Loss: 0.0767, Validation Loss: 0.0710, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 49/50, Train Loss: 0.0751, Validation Loss: 0.0706, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Epoch 50/50, Train Loss: 0.0742, Validation Loss: 0.0702, Train Accuracy: 0.9733, Validation Accuracy: 0.9786
Training completed!
